shot_x,shot_y,shot_type,shot_distance_feet,very left or very right shot,left or right shot,rebound_x,rebound_y,rebound_distance_feet,left or right rebound,weak or strong rebound
266,319,2PA,16.46,left,left,256,511,4.38,left,N/A
356,243,3PA,21.90,right,right,252,518,4.36,left,N/A
31,425,3PA,21.39,very left,left,279,519,2.77,left,strong
352,497,2PA,4.83,right,right,340,518,3.18,right,N/A
30,432,3PA,21.26,very left,left,206,514,7.49,left,strong
197,267,3PA,21.36,very left,left,419,474,9.56,right,weak
476,522,2PA,12.22,very right,right,379,510,5.82,right,strong
153,257,3PA,23.31,very left,left,427,513,8.94,right,weak
133,544,2PA,12.30,very left,left,396,541,6.41,right,weak
38,430,3PA,20.79,very left,left,382,513,5.92,right,weak
436,282,3PA,20.98,very right,right,361,502,5.05,right,strong
541,358,3PA,21.44,very right,right,249,454,7.75,left,weak
461,287,3PA,21.52,very right,right,142,508,11.98,left,weak
380,252,3PA,21.62,very right,right,266,522,3.35,left,weak
277,502,2PA,3.81,left,left,316,509,2.79,right,N/A
569,406,3PA,21.21,very right,right,251,518,4.42,left,weak
348,520,2PA,3.55,right,right,334,510,3.30,right,N/A
246,518,2PA,4.74,left,left,282,510,3.14,left,N/A
149,292,3PA,21.29,very left,left,183,519,8.97,left,strong
251,248,3PA,21.61,left,left,332,506,3.45,right,N/A
233,241,3PA,22.36,very left,left,280,503,3.63,left,strong
22,468,3PA,20.96,very left,left,284,444,7.49,left,strong
324,489,2PA,4.32,right,right,302,506,2.93,left,N/A
535,361,3PA,20.97,very right,right,370,498,5.73,right,strong
174,265,3PA,22.13,very left,left,319,491,4.09,right,weak
550,397,3PA,20.36,very right,right,206,476,8.72,left,weak
279,322,2PA,16.11,left,left,330,514,2.90,right,N/A
463,257,3PA,23.44,very right,right,274,497,4.22,left,weak
27,483,3PA,20.35,very left,left,359,490,5.53,right,weak
27,496,3PA,20.16,very left,left,316,509,2.79,right,weak
335,225,3PA,22.98,right,right,282,505,3.44,left,N/A
24,487,3PA,20.50,very left,left,321,495,3.85,right,weak
472,301,3PA,21.10,very right,right,359,510,4.60,right,strong
446,283,3PA,21.24,very right,right,271,514,3.42,left,weak
333,240,3PA,21.91,right,right,320,502,3.35,right,N/A
354,498,2PA,4.88,right,right,297,507,2.91,left,N/A
378,495,2PA,6.31,very right,right,320,498,3.62,right,strong
471,493,2PA,12.34,very right,right,263,522,3.54,left,weak
494,321,3PA,20.90,very right,right,217,508,6.91,left,weak
275,491,2PA,4.55,left,left,288,493,4.05,left,N/A
89,351,3PA,20.79,very left,left,231,464,7.95,left,strong
239,487,2PA,6.39,left,left,309,505,2.99,right,N/A
335,489,2PA,4.61,right,right,283,525,2.26,left,N/A
378,246,3PA,22.00,very right,right,267,493,4.74,left,weak
155,284,3PA,21.56,very left,left,285,486,4.59,left,strong
345,504,2PA,4.13,right,right,273,511,3.47,left,N/A
332,491,2PA,4.39,right,right,295,515,2.41,left,N/A
126,298,3PA,21.84,very left,left,411,478,8.93,right,weak
29,473,3PA,20.38,very left,left,365,510,4.95,right,weak
194,497,2PA,8.72,very left,left,323,505,3.22,right,weak
336,321,2PA,16.21,right,right,305,481,4.69,left,N/A
310,242,3PA,21.68,right,right,253,493,5.38,left,N/A
98,291,3PA,23.45,very left,left,348,498,4.59,right,weak
270,451,2PA,7.29,left,left,335,473,5.65,right,N/A
240,242,3PA,22.18,left,left,339,500,4.08,right,N/A
263,500,2PA,4.53,left,left,279,512,3.14,left,N/A
522,342,3PA,21.17,very right,right,367,504,5.31,right,strong
371,524,2PA,4.90,right,right,312,503,3.16,right,N/A
299,245,3PA,21.47,left,left,412,486,8.69,right,N/A
260,513,2PA,4.07,left,left,345,514,3.63,right,N/A
562,393,3PA,21.24,very right,right,237,507,5.67,left,weak
110,328,3PA,20.89,very left,left,300,473,5.28,left,strong
267,506,2PA,4.02,left,left,285,513,2.84,left,N/A
354,229,3PA,22.86,right,right,333,484,4.87,right,N/A
216,250,3PA,22.06,very left,left,238,485,6.54,left,strong
370,475,2PA,6.85,right,right,337,487,4.80,right,N/A
546,371,3PA,21.16,very right,right,247,466,7.12,left,weak
110,301,3PA,22.36,very left,left,243,461,7.58,left,strong
466,521,2PA,11.52,very right,right,245,522,4.69,left,weak
576,433,3PA,20.84,very right,right,264,499,4.53,left,weak
410,486,2PA,8.57,very right,right,348,528,3.28,right,strong
242,503,2PA,5.52,left,left,274,503,3.87,left,N/A
323,475,2PA,5.26,right,right,326,514,2.74,right,N/A
120,422,2PA,15.93,very left,left,268,503,4.13,left,strong
574,434,3PA,20.68,very right,right,342,477,5.60,right,strong
437,274,3PA,21.53,very right,right,287,494,4.00,left,weak
487,297,3PA,21.94,very right,right,258,502,4.68,left,weak
308,458,2PA,6.33,right,right,283,498,3.85,left,N/A
372,332,2PA,15.99,right,right,233,495,6.37,left,N/A
270,229,3PA,22.75,left,left,292,487,4.38,left,N/A
212,492,2PA,7.74,very left,left,328,508,3.18,right,weak
347,505,2PA,4.17,right,right,278,514,3.08,left,N/A
413,261,3PA,21.71,very right,right,277,506,3.57,left,weak
103,328,3PA,21.23,very left,left,364,501,5.26,right,weak
123,507,2PA,13.32,very left,left,341,518,3.23,right,weak
197,499,2PA,8.47,very left,left,275,517,3.07,left,strong
245,507,2PA,5.19,left,left,335,518,2.92,right,N/A
226,502,2PA,6.53,very left,left,292,503,3.28,left,strong
184,261,3PA,22.10,very left,left,402,440,10.22,right,weak
136,359,2PA,18.02,very left,left,317,502,3.29,right,weak
270,508,2PA,3.77,left,left,309,504,3.06,right,N/A
108,522,2PA,14.19,very left,left,175,520,9.51,left,strong
393,252,3PA,21.86,very right,right,380,507,5.98,right,strong
467,294,3PA,21.32,very right,right,348,514,3.80,right,strong
251,332,2PA,15.78,left,left,200,511,7.96,left,N/A
496,259,3PA,24.53,very right,right,274,500,4.04,left,weak
218,218,3PA,24.21,very left,left,297,485,4.45,left,strong
37,426,3PA,20.97,very left,left,358,501,4.94,right,weak
358,333,2PA,15.66,right,right,361,486,5.84,right,N/A
302,431,2PA,8.25,left,left,264,501,4.43,left,N/A
232,411,2PA,11.01,very left,left,333,503,3.67,right,weak
362,231,3PA,22.81,right,right,273,496,4.32,left,N/A
163,408,2PA,14.18,very left,left,271,515,3.37,left,strong
278,465,2PA,6.16,left,left,275,516,3.12,left,N/A
543,315,3PA,23.58,very right,right,236,511,5.60,left,weak
193,224,3PA,24.33,very left,left,345,514,3.63,right,weak
304,486,2PA,4.34,left,left,281,519,2.67,left,N/A
417,429,2PA,11.52,very right,right,312,495,3.72,right,strong
315,241,3PA,21.76,right,right,306,512,2.49,right,N/A
498,324,3PA,20.92,very right,right,288,517,2.49,left,weak
310,243,3PA,21.61,right,right,308,506,2.92,right,N/A
25,466,3PA,20.79,very left,left,176,487,10.18,left,strong
203,498,2PA,8.11,very left,left,293,501,3.40,left,strong
21,500,3PA,20.53,very left,left,187,464,10.31,left,strong
276,241,3PA,21.86,left,left,141,531,11.78,left,N/A
560,392,3PA,21.15,very right,right,257,491,5.29,left,weak
26,476,3PA,20.54,very left,left,260,310,17.16,left,strong
288,486,2PA,4.52,left,left,300,500,3.37,left,N/A
127,301,3PA,21.63,very left,left,255,514,4.32,left,strong
212,490,2PA,7.82,very left,left,326,531,1.82,right,weak
148,286,3PA,21.69,very left,left,358,527,3.96,right,weak
382,307,2PA,17.90,very right,right,215,494,7.49,left,weak
104,312,3PA,22.03,very left,left,328,486,4.61,right,weak
392,501,2PA,6.93,very right,right,318,512,2.63,right,strong
185,385,2PA,14.37,very left,left,329,494,4.11,right,weak
359,398,2PA,11.24,right,right,276,466,6.14,left,N/A
453,282,3PA,21.54,very right,right,336,492,4.45,right,strong
393,527,2PA,6.35,very right,right,261,524,3.59,left,weak
518,328,3PA,21.67,very right,right,239,512,5.37,left,weak
354,479,2PA,5.92,right,right,281,505,3.47,left,N/A
247,510,2PA,4.95,left,left,255,514,4.32,left,N/A
404,250,3PA,22.23,very right,right,146,464,12.81,left,weak
262,223,3PA,23.24,left,left,264,457,7.06,left,N/A
359,232,3PA,22.71,right,right,340,336,15.19,right,N/A
77,348,3PA,21.57,very left,left,196,482,9.08,left,strong
366,476,2PA,6.61,right,right,311,480,4.78,right,N/A
217,520,2PA,6.61,very left,left,278,527,2.45,left,strong
405,491,2PA,8.09,very right,right,278,502,3.77,left,weak
