c_shot_x,c_shot_y,shot_type,shot_distance_feet
22,505,3PA,20.409158987576525
514,335,3PA,21.11362439527572
337,376,2PA,12.354542148905443
39,432,3PA,20.666795033864492
595,485,3PA,21.01249119109913
482,407,2PA,15.98751787321774
195,343,2PA,16.51019479589167
120,470,2PA,14.311010999429428
207,342,2PA,16.183879982700233
579,425,3PA,21.257350678883835
411,254,3PA,22.126484609496316
115,328,3PA,20.65798982823358
31,473,3PA,20.24519239692076
307,228,3PA,22.67783654461624
149,419,2PA,14.400429285396065
287,476,2PA,5.224997580572405
598,500,3PA,21.025474926825428
461,386,2PA,15.88763157296488
69,362,3PA,21.373645702628846
288,516,2PA,2.548357582313022
42,406,3PA,21.276836706581626
458,282,3PA,21.717864040282176
356,431,2PA,8.979885881310784
593,505,3PA,20.620158125929567
307,486,2PA,4.337075557157244
481,277,3PA,22.873436791274177
100,334,3PA,21.06533777998612
17,528,3PA,20.589376353690344
236,484,2PA,6.69493139783289
279,517,2PA,2.8692563133569524
282,516,2PA,2.787056272594217
433,537,2PA,9.056380978748932
307,246,3PA,21.398222354856717
353,518,2PA,3.9260761909433395
443,243,3PA,23.704560301901598
435,284,3PA,20.824652099910836
587,457,3PA,20.975901230344018
414,277,3PA,20.67290755345473
273,516,2PA,3.218738793176807
347,514,2PA,3.741525317613488
500,283,3PA,23.29021055280886
190,277,3PA,20.89079957933832
20,521,3PA,20.41559619290536
358,490,2PA,5.4850014287091
356,497,2PA,5.026825458672139
521,346,3PA,20.92343259769887
306,353,2PA,13.791469194312796
392,247,3PA,22.18601816640195
590,478,3PA,20.776910109802976
43,430,3PA,20.463316757539353
287,469,2PA,5.707162844481412
23,510,3PA,20.289702312888764
295,324,2PA,15.872355612629933
236,487,2PA,6.5541785241418635
141,307,3PA,20.70478561025218
349,493,2PA,4.907273418603503
576,396,3PA,21.992117220241546
275,507,2PA,3.5976059513402827
445,253,3PA,23.118697643329813
312,460,2PA,6.199524961314583
192,268,3PA,21.425955328407454
511,323,3PA,21.58622101930944
419,270,3PA,21.267452373199433
266,319,2PA,16.456079199503645
356,243,3PA,21.901734882897014
31,425,3PA,21.387237246262533
