c_rebound_x,c_rebound_y,rebound_distance_feet
317,502,3.2932421294503706
309,504,3.064302662879475
175,520,9.508542982960781
380,507,5.9800210933117794
348,514,3.797166927319519
200,511,7.958276001416036
274,500,4.042142836728768
297,485,4.453778703604859
358,501,4.935513258116526
361,486,5.838912568260019
264,501,4.4281738869376595
333,503,3.6699268717934523
273,496,4.318391246015386
271,515,3.3713475928093013
275,516,3.116631784376726
236,511,5.595829949048653
345,514,3.6318596515008914
281,519,2.6684821392118665
312,495,3.721209192882199
306,512,2.4881516587677726
288,517,2.4871358793179006
308,506,2.918157689825658
176,487,10.178545779580345
293,501,3.3982232424788017
187,464,10.314183503706333
141,531,11.784877426338365
257,491,5.289882987379802
260,310,17.16276295226418
300,500,3.368348172648948
255,514,4.318391246015386
326,531,1.8207936220188194
358,527,3.96067913095283
215,494,7.486426701554939
328,486,4.609903176362126
318,512,2.6303317535545023
329,494,4.107257865114964
276,466,6.140550731753161
336,492,4.453778703604859
261,524,3.5926859057326856
239,512,5.37376811060595
281,505,3.474696514649271
255,514,4.318391246015386
146,464,12.813771517569721
264,457,7.060498019678751
340,336,15.19349159453415
196,482,9.083127255341687
311,480,4.776277829073221
278,527,2.4461588437088038
278,502,3.7677725118483414
